, CC_area, CC_perimeter, CC_circularity, CC_length, W1, W2, W3, W4, W5, W6, W7,volume
113,514.0,188.05,0.182662,67.5,19.5,93.0,89.25,57.0,46.0,51.0,158.25,1405714.25
114,482.5,191.63,0.16511099999999998,66.0,27.0,97.5,81.25,62.75,52.25,34.0,127.75,1406005.75
115,469.25,186.37,0.169775,69.5,19.5,113.75,67.5,55.25,47.75,30.75,134.75,1536758.375
116,606.5,183.73,0.22577399999999997,68.0,9.0,157.75,83.75,68.25,62.0,54.75,171.0,1482812.125
117,596.25,185.2,0.21846100000000002,69.5,11.0,128.75,96.75,64.5,48.25,54.75,192.25,1636066.375
118,526.0,184.37,0.194458,68.5,15.75,111.25,93.25,70.0,44.75,41.25,149.75,1675153.75
119,493.75,183.27,0.18473399999999998,62.0,24.25,114.0,66.5,50.0,50.0,37.25,151.75,1630284.75
120,654.25,218.31,0.172509,78.5,23.25,125.5,110.5,87.75,66.0,54.0,187.25,1624231.0
121,575.0,202.97,0.175386,72.5,25.5,125.0,88.5,70.5,55.25,43.25,167.0,1418481.0
122,537.75,184.8,0.19786700000000002,66.5,22.0,128.0,70.5,67.5,59.25,42.5,148.0,1802615.0
123,598.75,199.85,0.18838,75.0,1.75,112.25,85.0,81.5,78.75,58.75,180.75,1469081.0
124,670.5,196.58,0.21803499999999998,70.0,23.25,167.0,112.5,70.5,56.5,59.0,181.75,1460753.0
125,748.25,219.62,0.194941,77.0,24.75,154.0,121.0,83.5,76.75,72.0,216.25,1569536.0
126,438.0,175.61,0.178478,64.5,10.75,112.25,71.25,52.75,41.75,32.25,117.0,1604753.0
127,811.0,231.89,0.18951800000000002,80.5,28.75,153.5,149.25,93.25,74.0,78.25,234.0,1535486.0
128,445.5,173.2,0.18663,63.5,18.0,86.75,76.5,59.25,52.0,41.75,111.25,1482701.0
129,425.75,176.54,0.171665,64.5,15.5,90.5,62.5,50.5,37.0,31.5,138.25,1488162.0
130,493.0,189.58,0.172372,65.5,24.5,92.25,81.25,57.25,55.25,44.5,138.0,1508543.0
131,445.5,183.63,0.166022,64.5,18.25,85.25,61.5,39.25,51.25,48.5,141.5,1424990.0
132,675.5,211.7,0.189402,72.0,26.75,146.0,102.5,77.5,66.5,46.5,209.75,1309957.0
133,551.0,195.56,0.181051,70.5,21.75,128.25,75.25,64.0,51.5,48.5,161.75,1245846.0
134,480.0,187.95,0.170746,69.0,16.0,104.5,74.25,56.5,48.25,31.75,148.75,1376733.0
135,625.75,191.37,0.214721,69.0,18.25,167.0,93.25,71.5,55.25,48.5,172.0,1708384.0
136,653.75,205.05,0.195399,73.5,22.0,146.75,95.0,67.0,71.5,64.0,187.5,1584506.0
137,464.5,180.42,0.179323,67.0,16.0,112.5,63.0,51.75,45.0,38.25,138.0,1369961.0
138,468.75,177.39,0.187198,66.5,7.75,94.25,68.0,55.75,46.75,45.25,151.0,1438430.0
139,582.75,200.9,0.18143399999999998,70.5,20.75,117.25,94.5,67.0,54.5,47.25,181.5,1564126.0
140,635.25,206.92,0.186437,76.0,16.0,147.0,91.75,67.5,47.75,56.25,209.0,1347527.0
141,743.75,213.58,0.204886,77.5,32.5,192.75,95.0,76.0,71.0,73.0,203.5,1545360.0
142,510.0,180.97,0.19568,67.0,15.75,106.5,81.25,58.75,52.75,44.0,151.0,1296029.0
143,480.5,182.25,0.18179700000000001,65.5,15.75,111.5,77.0,50.75,42.75,40.5,142.25,1376786.0
144,567.25,184.61,0.209157,66.5,15.75,140.5,96.5,66.25,49.25,39.25,159.75,1301235.0
145,473.5,185.46,0.172994,65.0,14.0,73.5,104.75,61.0,46.0,36.0,138.25,1629853.0
146,590.25,201.0,0.183601,71.5,23.25,116.5,91.25,68.75,62.75,57.25,170.5,1297207.0
147,512.25,184.1,0.189935,68.0,9.75,123.25,65.0,63.5,58.5,42.5,149.75,1613924.0
148,580.0,202.56,0.177636,76.5,17.25,130.0,74.75,80.5,59.25,48.25,170.0,1474813.0
149,809.75,207.87,0.23548400000000005,76.0,18.0,205.25,99.0,95.75,71.5,77.25,243.0,1572419.0
150,607.25,189.61,0.21225300000000002,70.0,11.0,122.25,93.25,70.0,59.5,51.0,200.25,1468767.0
151,496.75,181.68,0.189116,67.0,13.5,96.5,100.5,61.5,54.0,37.0,133.75,1356686.0
152,525.75,181.1,0.201453,66.5,11.5,105.25,86.5,69.0,50.75,44.25,158.5,1436533.0
153,663.75,204.05,0.200337,72.5,34.25,146.0,111.5,81.0,63.0,58.75,169.25,1361766.0
154,616.75,192.49,0.20917399999999997,69.5,24.0,134.5,91.25,66.75,53.75,50.0,196.5,1422043.0
155,507.75,176.47,0.204893,68.0,10.0,89.5,101.0,55.0,43.5,48.75,160.0,1378960.0
156,695.5,207.92,0.20216099999999998,77.5,28.75,165.0,110.0,81.25,58.0,69.75,182.75,1723668.0
157,734.0,221.29,0.188361,79.5,19.75,181.0,99.75,78.5,71.5,67.25,216.25,1822479.0
158,620.5,183.92,0.23050199999999998,64.0,27.25,199.75,82.0,69.75,57.5,45.5,138.75,1872441.0
159,583.75,176.56,0.235316,61.5,11.75,118.75,82.0,73.25,61.25,54.75,182.0,1537447.0
160,654.5,187.15,0.234833,68.0,11.5,183.0,89.75,78.75,56.5,58.5,176.5,1471587.0
161,691.25,215.77,0.186573,74.5,22.0,157.0,113.5,77.5,66.25,53.0,202.0,1761994.875
162,412.25,164.3,0.191917,62.5,14.0,92.0,72.75,50.0,35.5,29.5,118.5,1579251.0
163,849.25,230.67,0.20056400000000002,79.0,32.5,189.75,133.0,91.75,90.25,79.25,232.75,1857029.0
164,717.75,194.8,0.2376800000000001,68.0,23.0,167.0,103.0,88.75,71.25,66.5,198.25,1519027.0
165,793.5,208.0,0.230489,74.5,18.0,179.75,90.75,87.0,81.5,84.25,252.25,1654234.0
166,558.25,175.44,0.22792300000000001,61.5,9.0,135.25,83.5,62.25,53.25,44.0,171.0,1586981.0
167,667.5,221.14,0.171529,73.0,39.0,121.25,120.75,72.0,59.5,68.5,186.5,1673055.0
168,814.25,222.43,0.206814,79.5,18.25,222.75,89.5,100.25,92.25,71.25,220.0,2010202.0
169,453.5,185.15,0.166249,69.0,18.0,96.75,66.5,54.25,45.25,33.25,139.5,1454932.0
170,644.5,225.94,0.158646,80.5,29.5,121.5,113.5,55.5,48.75,55.25,220.5,1875628.0
171,524.25,180.44,0.202343,68.0,13.0,125.5,71.5,59.75,50.5,53.25,150.75,1476510.0
172,559.25,201.41,0.173244,72.0,21.75,121.25,92.75,65.0,56.25,48.0,154.25,1486902.0
173,664.5,218.89,0.174275,77.0,24.75,151.25,98.0,72.5,68.25,56.0,193.75,1676469.0
174,583.5,193.27,0.19630699999999998,71.5,19.0,157.5,88.25,69.75,61.75,43.25,144.0,1433348.0
175,679.25,201.34,0.21056599999999998,72.5,18.5,137.5,104.5,75.0,70.75,65.0,208.0,1724523.0
176,632.75,209.61,0.180974,76.0,115.75,14.5,113.0,66.75,55.75,72.25,194.75,1555150.0
177,522.75,195.44,0.171982,71.0,25.75,125.5,69.75,68.75,49.75,39.75,143.5,1657924.0
178,595.75,201.97,0.18351900000000002,72.0,23.0,119.5,92.25,66.0,58.5,40.5,196.0,1446655.0
179,599.75,203.75,0.181541,77.5,11.5,129.5,94.75,74.25,64.75,52.75,172.25,1711505.0
180,578.0,187.56,0.20647,66.0,23.5,143.0,93.75,64.25,58.75,49.75,145.0,1530981.0
181,591.5,205.46,0.176081,76.5,19.25,113.25,106.75,82.5,63.25,44.0,162.5,1683044.0
182,546.0,179.73,0.2124,66.5,14.75,150.0,76.0,65.25,52.25,46.5,141.25,1624724.0
183,600.75,179.97,0.233068,63.5,11.25,141.75,78.0,77.25,61.25,55.5,175.75,1684486.0
184,678.0,215.1,0.184152,79.5,17.75,157.0,114.0,68.0,57.25,51.75,212.25,1654083.0
185,703.0,217.97,0.185947,73.5,15.5,124.5,101.5,82.0,81.0,64.25,234.25,1855805.0
186,791.75,239.62,0.173278,84.5,33.25,157.25,101.25,108.0,86.25,66.25,239.5,1726470.0
187,433.25,170.02,0.188333,61.5,95.5,10.0,81.5,50.5,43.5,35.0,117.25,1396648.0
188,490.5,180.76,0.188642,68.5,8.25,83.25,92.0,58.5,50.75,44.25,153.5,1481841.0
189,719.75,200.39,0.22524,70.5,22.75,163.75,107.5,86.5,59.5,66.25,213.5,1697917.0
190,718.0,215.17,0.194888,81.0,5.25,170.75,74.25,85.0,74.25,75.75,232.75,1609611.0
191,636.0,199.0,0.201828,72.0,27.0,142.5,90.75,65.75,68.25,73.0,168.75,1527981.0
192,539.25,184.39,0.199312,66.0,16.5,128.5,70.25,67.5,59.75,46.5,150.25,1654537.0
193,817.25,224.65,0.203491,82.5,32.25,153.75,145.75,103.25,81.75,80.5,220.0,1615049.0
194,503.25,197.77,0.161681,71.0,17.25,124.25,64.5,63.25,58.25,40.75,135.0,1251626.5
195,501.25,188.46,0.177349,69.0,12.25,104.75,75.25,59.75,48.25,38.75,162.25,1612403.75
196,597.5,198.46,0.190636,72.0,16.75,121.25,96.0,70.5,59.5,54.5,179.0,1550880.75
197,389.0,173.61,0.162184,64.0,7.75,71.25,68.25,42.5,41.75,32.5,125.0,1396438.875
198,714.75,205.94,0.211769,74.0,19.5,146.75,117.75,88.0,77.75,62.5,202.5,1343202.0
199,743.25,215.29,0.201514,72.5,32.0,170.5,114.25,82.5,63.25,62.5,218.25,1307955.625
200,459.0,195.2,0.151384,73.0,13.25,112.5,79.5,54.75,45.75,36.5,116.75,1909755.375
201,618.5,188.07,0.21973,67.0,19.75,125.25,84.0,76.0,71.5,55.0,187.0,1318944.625
202,491.75,164.25,0.22906700000000002,59.0,14.5,128.75,64.25,58.5,50.75,44.5,130.5,1464289.25
203,509.5,182.02,0.19323900000000002,66.0,12.25,119.0,87.5,62.75,49.5,46.25,132.25,1487021.125
204,641.5,197.92,0.205783,72.0,9.75,150.5,79.5,74.5,65.25,59.0,203.0,1435622.75
205,468.25,165.25,0.21548899999999999,58.5,12.5,115.75,61.25,51.75,45.0,39.5,142.5,1255095.75
206,505.75,183.9,0.187918,68.5,11.5,102.25,75.25,53.75,44.75,49.0,169.25,1215851.0
207,366.25,163.27,0.17265899999999998,59.5,11.25,82.0,59.5,40.5,43.5,36.25,93.25,1424137.375
208,618.5,188.07,0.21973,67.0,19.75,125.25,84.0,76.0,71.5,55.0,187.0,1318944.625
209,610.0,208.22,0.17681,77.5,18.0,138.75,95.75,67.25,57.5,46.5,186.25,1668826.625
210,451.5,198.63,0.143805,74.5,9.0,75.0,86.5,58.0,43.0,40.5,139.5,1368651.125
211,471.25,202.02,0.145108,68.5,16.5,86.0,83.5,51.5,43.25,38.25,152.25,1450321.625
212,581.75,195.1,0.19206600000000001,70.5,25.25,129.25,107.25,70.75,47.25,44.5,157.5,1462241.125
213,508.0,173.35,0.212443,64.5,10.0,115.25,67.5,54.25,45.25,41.5,174.25,1284957.5
214,402.5,178.34,0.15903299999999998,64.5,9.0,77.75,81.5,50.75,39.5,27.5,116.5,1430806.5
215,605.25,197.02,0.195932,70.5,28.0,134.75,91.0,70.0,56.25,51.75,173.5,1564298.375
216,655.5,196.63,0.21304800000000002,69.0,23.5,182.5,78.25,71.0,68.0,54.5,177.75,1402206.5
217,490.75,185.73,0.17877200000000001,68.0,14.5,91.0,89.25,59.25,43.5,38.25,155.0,1624916.5
218,496.0,181.92,0.188327,65.0,13.0,86.25,85.0,58.5,57.5,47.0,148.75,1389129.25
219,527.5,191.44,0.180873,71.5,13.5,85.25,86.25,60.25,53.5,53.75,175.0,1515670.625
220,420.25,175.9,0.170675,65.5,7.75,97.25,77.25,49.25,44.75,33.5,110.5,1396558.75
221,385.25,179.2,0.150763,68.5,4.5,69.75,71.0,50.0,34.5,29.75,125.75,1235476.125
222,361.0,165.81,0.165002,64.5,4.5,69.25,68.75,47.25,34.5,25.25,111.5,1143097.125
223,767.25,193.49,0.25753400000000004,71.0,12.0,214.0,104.0,94.0,80.75,60.5,202.0,1524740.875
224,493.75,180.2,0.19108499999999998,66.0,11.75,116.5,79.75,60.25,43.25,39.25,143.0,1240045.25
225,494.75,199.58,0.156084,67.5,17.25,93.0,88.25,49.5,48.5,45.75,152.5,1411197.625
226,507.25,181.0,0.19456199999999998,67.0,14.0,120.5,73.75,50.75,46.25,40.5,161.5,1553344.375
227,836.5,207.65,0.243783,71.5,26.25,193.5,109.25,98.5,94.25,81.75,233.0,1428470.875
228,432.0,201.48,0.13373,64.5,25.75,65.0,79.25,61.0,41.0,39.5,120.5,1478883.0
229,412.5,165.2,0.189948,58.0,11.75,93.25,52.25,43.0,42.25,37.0,133.0,1228251.125
230,458.75,176.15,0.185798,62.0,12.25,101.75,62.5,47.75,58.5,45.5,130.5,1395434.5
231,472.5,185.05,0.173403,63.0,26.5,101.0,93.5,57.75,56.75,46.5,90.5,1045302.1875
232,543.5,180.0,0.210788,64.5,9.0,143.0,80.25,59.0,41.0,42.5,168.75,1528140.625
233,525.0,182.15,0.198852,66.0,17.0,132.25,84.5,60.25,52.0,47.0,132.0,1452563.0
234,582.5,199.22,0.18443900000000002,74.0,13.0,120.5,98.75,69.25,61.0,47.5,172.5,1485963.25
235,485.0,174.51,0.20013,64.5,6.25,117.5,68.0,54.0,49.25,41.5,148.5,1198117.375
236,660.25,212.39,0.18393199999999998,76.0,21.75,133.75,99.75,75.75,69.0,54.25,206.0,1535984.5
237,678.25,217.38,0.180369,69.0,29.25,155.5,94.25,69.0,59.5,48.0,222.75,1522900.0
238,477.0,177.2,0.190906,64.5,16.25,111.25,73.0,59.75,51.75,37.75,127.25,1399534.125
239,550.75,198.53,0.175594,68.0,21.25,108.75,83.75,70.0,53.25,42.75,171.0,1539952.75
240,500.0,192.56,0.169452,72.5,21.0,114.75,76.25,64.25,39.25,42.0,142.5,1399035.25
241,417.0,178.8,0.163907,66.5,6.5,84.75,64.5,52.25,47.5,33.5,128.0,1398989.5
242,645.0,201.56,0.199508,74.0,11.25,138.5,86.0,72.5,64.25,53.0,219.5,1451596.375
243,590.5,201.53,0.182704,70.0,5.0,114.75,105.75,69.0,59.0,50.75,186.25,1613275.25
244,705.25,242.57,0.150616,76.5,27.25,154.25,117.75,66.75,55.25,56.75,227.25,1510608.625
245,670.25,211.7,0.18792999999999999,75.0,19.5,162.0,109.25,78.75,67.5,53.25,180.0,1561895.0
246,622.75,199.29,0.197043,73.0,14.75,138.5,70.0,75.75,64.75,64.25,194.75,1604078.5
247,558.5,205.41,0.16633900000000001,72.0,22.5,120.5,90.5,58.5,51.75,46.75,168.0,1455153.625
248,590.5,200.02,0.18546600000000002,71.0,28.25,131.25,96.25,75.75,52.25,40.75,166.0,1495889.0
249,587.0,192.97,0.19808399999999998,69.0,23.25,127.75,86.25,59.75,55.5,55.5,179.0,1315057.75
250,710.0,220.77,0.183052,73.0,38.25,140.75,104.5,68.75,64.25,62.25,231.25,1503679.75
251,677.0,219.92,0.175895,78.5,30.0,112.5,116.0,87.75,73.5,56.25,201.0,1812689.125
252,542.0,197.41,0.174773,64.0,21.75,111.5,81.5,59.5,53.75,39.5,174.5,1444181.125
253,795.75,217.12,0.21213,80.0,13.25,172.25,108.25,99.75,78.75,84.5,239.0,1488647.5
254,620.75,175.12,0.254349,62.5,12.75,178.75,72.75,73.5,60.0,52.0,171.0,1488942.0
255,692.25,214.7,0.188712,71.0,23.5,141.25,108.25,80.0,67.75,67.25,204.25,1519245.0
256,479.0,183.56,0.178644,69.5,2.0,107.25,56.25,58.5,53.25,37.75,164.0,1424007.75
